mutation2,fitness
0.05,4.242226601895978
0.1,3.244570239052395
0.15,3.070819891201377
0.2,2.86023195415311
0.25,3.086125804862238
0.3,3.4738267711773516
0.35,3.705718590527843
0.4,4.327536250157193
