new crossover,fitness
1,2.6363847865114782
2,2.7668243745271806
3,3.041839154252727
4,2.7946475412396783
5,3.07159234099814
6,3.1469376235706368
7,3.3672602718064684
8,3.2999349656805346
9,3.5405258306945644
10,3.579523310350569
11,3.5431542607275897
12,3.9168149904125533
13,3.6731602733633126
14,3.857356372448278
15,3.930212257021361
